"filename", "language", "Dart", "comment", "blank", "total"
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\components\assets_path.dart", "Dart", 44, 3, 8, 55
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\components\colors.dart", "Dart", 42, 2, 18, 62
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\components\components_barrel.dart", "Dart", 8, 1, 2, 11
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\components\contants.dart", "Dart", 6, 0, 3, 9
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\components\pick_image.dart", "Dart", 22, 1, 4, 27
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\components\primary_button.dart", "Dart", 62, 0, 2, 64
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\components\secondary_button.dart", "Dart", 14, 1, 2, 17
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\components\snack_bar.dart", "Dart", 34, 5, 2, 41
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\components\text.dart", "Dart", 21, 0, 2, 23
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\components\textfield.dart", "Dart", 48, 5, 3, 56
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\components\time_format.dart", "Dart", 15, 0, 2, 17
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\components\url_launcher.dart", "Dart", 12, 3, 2, 17
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\firebase_options.dart", "Dart", 66, 12, 6, 84
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\main.dart", "Dart", 343, 26, 29, 398
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\models\experts_model.dart", "Dart", 58, 2, 4, 64
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\models\user_model.dart", "Dart", 40, 2, 4, 46
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\navigation\navigator.dart", "Dart", 7, 0, 2, 9
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\providers\auth_provider.dart", "Dart", 278, 40, 42, 360
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\providers\bottom_narbar_provider.dart", "Dart", 19, 0, 8, 27
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\providers\date_time_card_provider.dart", "Dart", 25, 12, 16, 53
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\providers\providers_barrel.dart", "Dart", 2, 0, 1, 3
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\providers\theme_provider.dart", "Dart", 18, 0, 4, 22
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\public_packages.dart", "Dart", 6, 1, 2, 9
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\screen_tobe_shown.dart", "Dart", 20, 9, 5, 34
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\screens\login_screen.dart", "Dart", 305, 37, 18, 360
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\screens\onboarding_screens.dart", "Dart", 154, 9, 13, 176
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\screens\otp_verification_screen.dart", "Dart", 239, 24, 18, 281
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\screens\professionals_screen\appointment_screen.dart", "Dart", 339, 33, 9, 381
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\screens\professionals_screen\expert_information_screen.dart", "Dart", 412, 49, 36, 497
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\screens\professionals_screen\profile_screen.dart", "Dart", 205, 24, 11, 240
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\screens\role_screen.dart", "Dart", 150, 11, 12, 173
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\screens\users_screen\appointment_screen.dart", "Dart", 339, 33, 9, 381
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\screens\users_screen\home_screen.dart", "Dart", 135, 17, 7, 159
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\screens\users_screen\list_of_users.dart", "Dart", 80, 1, 3, 84
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\screens\users_screen\profile_screen.dart", "Dart", 204, 24, 10, 238
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\screens\users_screen\user_registration_form.dart", "Dart", 243, 37, 17, 297
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\screens\users_screen\user_screen.dart", "Dart", 556, 98, 49, 703
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\shared_preferences\role.dart", "Dart", 13, 5, 8, 26
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\shared_preferences\screens_state_manager.dart", "Dart", 13, 4, 6, 23
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\shared_preferences\shared_pref_barrel.dart", "Dart", 3, 0, 1, 4
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\shared_preferences\theme_shared_preferences.dart", "Dart", 12, 0, 4, 16
"g:\Local Disk F\Source Codes\Flutter\wasta\lib\theme\theme_style.dart", "Dart", 38, 64, 4, 106
"Total", "-", 4650, 595, 408, 5653
